ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol
10527158	0.00000558	1.57E-10	-56.8125021	13.510032	-6.44677835	Fscn1
10560294	0.00000897	5.04E-10	-48.0094056	12.887256	-6.38486359	Ceacam15
10541564	0.00000919	9.72E-10	43.6686354	12.487866	5.44181036	Clec4a3
10590631	0.00000919	1.57E-09	40.7579657	12.175305	6.34114576	Ccr2
10534927	0.00000919	1.65E-09	40.4723102	12.142418	5.00835188	Pilra
10456071	0.00000919	1.94E-09	39.5167828	12.02931	5.7579587	Csf1r
10404422	0.00000919	2.26E-09	-38.6547859	11.923012	-6.29870111	Serpinb6b
10590635	0.00000919	2.33E-09	38.4993275	11.903395	5.39317476	Ccr5
10469457	0.00001042	2.93E-09	37.234269	11.738462	4.70303983	Plxdc2
10372648	0.00001335	4.13E-09	35.433245	11.486312	4.07514913	Lyz2
10513320	0.00001358	4.83E-09	34.6402853	11.368327	4.07281818	Ptgr1
10535780	0.00001358	4.97E-09	-34.5030393	11.34745	-4.6986601	Flt3
10446282	0.00001436	5.78E-09	33.7519002	11.23072	4.00113432	Adgre1
10426611	0.00001436	6.06E-09	-33.5230337	11.194305	-4.82178835	Cacnb3
10351679	0.00001754	8.37E-09	31.99277	10.940085	4.44985757	Cd84
10595371	0.00001754	9.65E-09	-31.3381154	10.825327	-4.17966814	Hmgn3
10436442	0.00001754	9.94E-09	-31.205635	10.801645	-3.63608131	Fam60a
10448278	0.00001754	1.01E-08	-31.1242246	10.787013	-5.12326928	Mmp25
10541614	0.00001754	1.05E-08	30.9763802	10.760289	6.03098898	Clec4d
10560919	0.00001754	1.11E-08	30.7260047	10.714575	5.2926727	Atp1a3
10432190	0.00001754	1.17E-08	-30.4805709	10.6692	-4.25178973	Adcy6
10374197	0.00001754	1.17E-08	-30.4753333	10.668225	-5.31237633	Ramp3
10376216	0.00001754	1.18E-08	30.42483	10.658816	4.10428149	Slc36a1
10521667	0.00001888	1.38E-08	29.755752	10.531848	5.46470414	Bst1
10607870	0.00001917	1.50E-08	29.4116715	10.464843	4.51869021	Tlr7
10350742	0.00001917	1.53E-08	29.3101416	10.444844	3.91818541	Rnasel
10547664	0.00001917	1.61E-08	29.106258	10.404365	4.856751	Clec4e
10500378	0.00001917	1.62E-08	-29.0791399	10.398949	-4.51847305	Nudt17
10497689	0.00002315	2.02E-08	-28.1620551	10.211213	-4.99124616	Gnb4
10517513	0.00002354	2.28E-08	27.671068	10.106931	5.50653209	C1qc
10500335	0.00002354	2.37E-08	27.5182612	10.07392	4.24217992	Fcgr1///Fcgr1
10380067	0.00002354	2.43E-08	-27.4179927	10.052113	-3.85416422	4-Sep
10491083	0.00002354	2.48E-08	27.3331555	10.03357	3.67142064	Nceh1
10392815	0.00002354	2.48E-08	27.3252897	10.031847	4.74000571	Cd300c2
10404840	0.00002354	2.52E-08	-27.2664144	10.018924	-4.49721815	Cd83
10578264	0.00002354	2.64E-08	27.0820546	9.978195	5.82526249	Msr1
10536949	0.00002354	2.65E-08	-27.0730751	9.976201	-5.02205117	Strip2
10475890	0.00002354	2.68E-08	27.0270389	9.965962	4.19949804	Mertk
10426924	0.00002354	2.71E-08	-26.9773632	9.954886	-3.60652343	Slc4a8
10534303	0.00002367	2.80E-08	26.8603119	9.928671	3.02669731	Lat2
10571444	0.00002557	3.10E-08	26.4619182	9.838196	3.45399901	Slc7a2
10400023	0.00002557	3.16E-08	-26.3823299	9.819887	-3.71211327	Tspan13
10440393	0.00002734	3.46E-08	-26.0427136	9.740864	-3.03300694	Samsn1
10565958	0.00002819	3.73E-08	25.7562501	9.673061	5.0832167	P2ry6
10593646	0.00002819	3.86E-08	25.6300534	9.642853	2.67191223	Tnfaip8l3
10526191	0.00002819	3.99E-08	-25.5064762	9.613067	-3.05221903	Gatsl2///Gatsl2
10409567	0.00002819	4.07E-08	25.4379658	9.596467	4.00898981	Tifab
10469278	0.00002819	4.09E-08	-25.417277	9.591441	-5.39054784	Il2ra
10505276	0.00002819	4.27E-08	25.2602803	9.553119	2.84831654	Slc31a1
10541605	0.00002819	4.29E-08	25.2446274	9.54928	5.29240844	Clec4n
10436209	0.00002819	4.29E-08	-25.238453	9.547764	-3.43650104	Cblb
10385776	0.00002819	4.34E-08	-25.2016557	9.538723	-3.67371093	Tcf7
10526181	0.00002819	4.36E-08	-25.1816519	9.5338	-2.88946781	Gatsl2
10361790	0.00002912	4.69E-08	24.9198546	9.468867	3.13796258	Fuca2
10429114	0.00002912	4.73E-08	24.8827274	9.459581	3.00176308	Tmem71
10570291	0.00002912	4.79E-08	24.8375631	9.44826	5.23143279	F10
10348896	0.00002912	4.98E-08	-24.7012059	9.413904	-4.23698851	Gm9994///Gm6086///Gal3st2
10537410	0.00002912	4.98E-08	24.6983757	9.413189	4.37184973	Tbxas1
10346168	0.00002912	5.00E-08	-24.6888468	9.410778	-6.42907281	Stat4
10435714	0.00002947	5.20E-08	-24.5486822	9.375164	-3.12919331	Tmem39a
10585778	0.00002947	5.29E-08	-24.4823011	9.3582	-4.97271325	Sema7a
10498350	0.00002947	5.31E-08	24.46822	9.354593	3.44910258	P2ry14
10445241	0.00002947	5.46E-08	24.3697377	9.329287	3.43040572	Tnfrsf21
10530100	0.00002947	5.54E-08	-24.3237671	9.317427	-4.10224142	Arap2
10541555	0.00002947	5.69E-08	24.2250616	9.291857	5.58942227	Clec4a1
10439651	0.00002947	5.76E-08	-24.1859795	9.281693	-3.71844337	Cd200
10557862	0.00002947	5.78E-08	24.1733829	9.278412	5.2304712	Itgam
10501063	0.00003087	6.16E-08	23.9465244	9.218924	3.72186998	Cd53
10482181	0.00003104	6.29E-08	-23.8780538	9.200819	-3.45418852	Strbp
10435948	0.00003115	6.41E-08	23.8098092	9.182702	4.19136423	Ccdc80
10407327	0.00003115	6.55E-08	23.7361321	9.163064	3.82534351	Emb
10458046	0.00003115	6.57E-08	-23.7247785	9.160031	-3.40181665	Nrep
10375331	0.00003366	7.20E-08	-23.4136962	9.076141	-5.18775606	Il12b
10388902	0.00003523	7.65E-08	23.2053608	9.019115	3.40151986	Lgals9
10405587	0.00003523	7.75E-08	23.1628909	9.007405	6.18134182	Tgfbi
10543239	0.00003523	7.83E-08	23.1280996	8.997792	4.77417362	Tfec
10443980	0.000036	8.10E-08	23.0136314	8.966024	4.43494726	Myo1f
10469358	0.0000362	8.25E-08	22.9531179	8.949144	5.30932753	Mrc1
10602009	0.00003753	8.82E-08	22.7317313	8.886882	3.59810299	Rnf128
10391870	0.00003753	8.82E-08	-22.7286849	8.886019	-3.18999957	1700028N14Rik///Map3k14
10410124	0.00003753	8.87E-08	22.712793	8.881518	3.93328672	Ctsl
10517508	0.00003865	9.24E-08	22.5767923	8.842826	5.57760156	C1qb
10581434	0.00003918	9.48E-08	22.4936206	8.819011	4.48564833	Dpep2
10538993	0.00004053	9.92E-08	-22.3450623	8.776183	-2.80649967	Cd8a
10469289	0.00004154	1.04E-07	-22.1929424	8.731937	-2.95000471	Il15ra
10364950	0.00004154	1.05E-07	-22.1708807	8.725487	-4.01417277	Gadd45b
10518147	0.00004154	1.07E-07	22.0956959	8.703443	2.71014362	Pdpn
10607113	0.00004154	1.08E-07	-22.081722	8.699335	-2.80039342	Rgs3
10429491	0.00004154	1.09E-07	-22.0489768	8.689695	-3.0265291	Arc
10458382	0.00004154	1.09E-07	22.0323647	8.684798	4.77059703	Cd14
10561104	0.00004154	1.11E-07	21.9913493	8.672685	3.36015365	Axl
10456904	0.00004154	1.11E-07	21.9678759	8.66574	2.57813315	Pstpip2
10582008	0.00004154	1.14E-07	-21.9071509	8.647727	-2.56886455	Cmc2
10364262	0.00004154	1.14E-07	21.8948309	8.644064	3.37572081	Itgb2
