gene	mbcy	mcgo	nbco
ABCB6	-0.01	-0.37	-0.01
ABCC6	-0.01	0.33	0.07
ADM	-0.11	0.01	0.3
AFF4	0.07	-0.19	0.04
AGTRAP	-0.18	0.26	-0.29
AKT1	-0.02	0.13	-0.04
AMY1C	-0.35	-1.01	-0.17
ANKRD11	-0.09	-0.48	0.13
ANXA2P3	-0.14	0.39	-0.07
AP1G1	-0.07	-0.5	-0.13
ARFGAP3	0.08	0.61	-0.06
ARL1	0.01	-0.24	0.07
ASMTL	-0.04	0.39	0.07
ATF7IP	0.09	-0.3	-0.01
BAT1	0.77	0.13	1.04
BCL2	-0.06	0.21	-0.19
BCL6B	-0.04	0.08	-0.13
BRWD3	-0.23	-0.11	0.06
BTN3A1	0.08	-0.14	-0.1
C16orf70	0.1	0.14	0.09
C1orf27	-0.16	-0.41	-0.07
C22orf45	0.11	0.32	0.07
CCDC115	-0.06	0.12	-0.32
CCS	-0.24	0.24	-0.5
CD1A	-0.13	0.75	0.3
CHAC2	-0.13	0.53	-0.31
CILP2	0.25	0.85	0.07
CLDN17	0.16	1.2	0.13
COL23A1	0.01	0.76	0.08
CTDP1	0.24	0.44	0.21
CUL4A	-0.18	-0.52	-0.08
CYBB	-0.26	-0.3	-0.31
DACT1	-0.08	0.25	0.01
DAG1	0.17	0.41	-0.6
1-Dec	-0.02	0.4	-0.15
DNAH3	-0.09	0.19	0.29
DPY19L2P4	0.01	0.56	0.04
DSCC1	-0.01	-0.09	-0.11
EEF1A1	0.45	0.2	-0.21
EIF4B	0.28	-0.04	-0.37
EIF4G3	-0.35	-0.75	-0.11
ENPP7	0.28	-0.25	0.38
EP300	0.07	-0.16	0.18
ESF1	0.04	-0.22	0.13
ESR2	0.06	0.4	0.09
FAAH	-0.07	0.79	-0.07
FADD	0.09	0.25	-0.04
FAM133B	0.12	-0.25	0.07
FAM153A	0.15	-0.29	0.15
FBXO36	0.07	-0.21	0.13
FGF1	0.13	0.19	0.1
GABARAPL1	-0.01	-0.38	0.37
GADD45B	-0.29	-0.09	-0.04
GFER	0	0.25	-0.17
GFPT1	-0.02	0.25	0.08
GLTSCR1	0.95	0.29	1.34
GNAZ	-0.07	-0.76	0.86
GOLGA6L9	0.16	-0.11	0.25
GPATCH2	-0.01	-0.52	0.17
GRID2	0.1	0.52	0.22
HAUS6	-0.09	-0.25	0.06
HBE1	0.12	0.32	0.23
HMGB1	-0.45	-0.61	-0.14
HRAS	0.05	0.28	-0.08
HRASLS5	1	0.58	1.54
IDS	-0.14	-0.16	-0.06
IGF1R	-0.13	0.01	-0.17
IRAK1	0.14	0.47	-0.14
ISCU	-0.47	-1.12	-0.26
ITGB2	-0.55	-0.94	0.3
ITGB3	-1.8	-1.59	1.03
JUN	-0.13	-0.53	0.86
KCNK15	0.51	0.07	0.59
KIAA0430	-0.93	-1.48	-0.46
KIAA1429	-0.11	-0.66	-0.37
KIAA1715	-0.14	-0.02	0.14
KIF2A	-0.81	-1.45	-0.37
KRTCAP3	0.05	0.12	-0.08
LBR	-0.64	-1.19	-0.07
LENG8	0.82	0.29	1.2
LFNG	-0.37	0.22	0.3
LIPE	1.09	0.38	0.94
LOC100506476	0.54	-0.11	0.74
LOC407835	0.13	0.41	0.08
LTBP4	0.09	0.39	-0.07
LTC4S	-0.04	0.55	-0.13
LYRM2	0.06	-0.09	0.12
MAGOHB	-0.1	0.11	-0.16
MALAT1	1.3	0.6	0.47
MAPK1	-0.04	-0.14	-0.06
MED14	-0.1	0.39	-0.13
MEGF10	0.15	-0.14	0.21
MGAT4C	0.05	-0.57	0.02
MIER3	0.4	0.93	0.22
MLL2	0.376	0.119	0.351
MPHOSPH8	0.3	-0.01	0.21
MTCP1	0.04	-0.44	0.14
MYST4	-0.12	-0.15	0.21
NACC1	0.74	0.18	0.69
NAMPT	-0.25	-0.63	-0.21
NCRNA00241	-0.1	0.59	-0.02
ND4	0.58	-0.18	1.45
NEAT1	0.32	-0.38	0.04
NFKB1	-0.15	-0.47	-0.01
NOL8	-0.3	-0.62	-0.03
OR10C1	0.2	0.82	0.13
OXSR1	-0.16	-0.39	-0.52
P2RY10	-0.2	0.27	-0.62
PAX4	0.98	0.56	1.27
PCDHB9	0.29	0.02	0.49
