Mouse	Days	Measurement	Value
r1	0 days	% of live cells	4.63
r2	0 days	% of live cells	8.09
r3	0 days	% of live cells	5.28
r1	7 days	% of live cells	19.2
r2	7 days	% of live cells	24.5
r3	7 days	% of live cells	25.78
r1	14 days	% of live cells	34
r2	14 days	% of live cells	37.2
r3	14 days	% of live cells	42.16
r1	0 days	"MHCII MFI, AU"	10088
r2	0 days	"MHCII MFI, AU"	19988
r3	0 days	"MHCII MFI, AU"	12489
r1	7 days	"MHCII MFI, AU"	12925
r2	7 days	"MHCII MFI, AU"	15217
r3	7 days	"MHCII MFI, AU"	17486
r1	14 days	"MHCII MFI, AU"	8829
r2	14 days	"MHCII MFI, AU"	11085
r3	14 days	"MHCII MFI, AU"	9470
r1	0 days	"SiglecF MFI, AU"	228
r2	0 days	"SiglecF MFI, AU"	319
r3	0 days	"SiglecF MFI, AU"	250
r1	7 days	"SiglecF MFI, AU"	381
r2	7 days	"SiglecF MFI, AU"	456
r3	7 days	"SiglecF MFI, AU"	406
r1	14 days	"SiglecF MFI, AU"	560
r2	14 days	"SiglecF MFI, AU"	632
r3	14 days	"SiglecF MFI, AU"	620
