Mouse	Group	MigrationArea
r1	MHCIIlow	1622265
r2	MHCIIlow	1820063
r3	MHCIIlow	1740640
r4	MHCIIlow	1806583
r5	MHCIIlow	1784368
r6	MHCIIlow	1615849
r7	MHCIIlow	2052744
r8	MHCIIlow	1728697
r1	MHCIIlow+blockingAB	1784289
r2	MHCIIlow+blockingAB	1545287
r3	MHCIIlow+blockingAB	1737797
r4	MHCIIlow+blockingAB	1840702
r5	MHCIIlow+blockingAB	1743687
r6	MHCIIlow+blockingAB	1809532
r7	MHCIIlow+blockingAB	1764429
r8	MHCIIlow+blockingAB	1491044
r1	MHCIIhigh	1884355
r2	MHCIIhigh	2030888
r3	MHCIIhigh	2051937
r4	MHCIIhigh	1890914
r5	MHCIIhigh	2150102
r6	MHCIIhigh	2132077
r7	MHCIIhigh	2024594
r8	MHCIIhigh	2355950
r1	MHCIIhigh+blockingAB	1552221
r2	MHCIIhigh+blockingAB	1956268
r3	MHCIIhigh+blockingAB	1524662
r4	MHCIIhigh+blockingAB	1304563
r5	MHCIIhigh+blockingAB	1474383
r6	MHCIIhigh+blockingAB	1747590
r7	MHCIIhigh+blockingAB	1541062
r8	MHCIIhigh+blockingAB	1417196
